"sample_id","SMARCB1","NEC-like SMARCA4 ARID1A","ALV RMS","ACC","ADC","PIT AD","CPH","EWS","ONB","SCC","NEC-like IDH2","EMB RMS","NUT","MCC","LECA","MELA","GPC","CTRL","Unknown"
"SPL-DU-00016",0.0235689606139464,0.0188181210668415,0.00625491803892783,0.0186444373749552,0.0209307834911082,0.00932789895190419,0.0129410499165155,0.00867754715490155,0.0258071560044152,0.023964429290128,0.0236530698103572,0.00957723850728855,0.00565356343246206,0.00934715216462417,0.0135381815538826,0.576052528268611,0.00516167565633371,0.00580063509764012,0.182280653605157
"SPL-DU-00020",0.00910873294190213,0.84215492286211,0.00312581916578239,0.00951721860712531,0.0108816025876187,0.00527523084635948,0.00707457342890798,0.0039398201231,0.0173554400084169,0.0114918198679065,0.0125070213827584,0.00433343082047444,0.00310578519170005,0.00542653141140901,0.00604045970130558,0.00751311749518648,0.00243657860660995,0.00294312320459036,0.0357687717467356
"SPL-DU-00021",0.00780060058897962,0.00826270172409924,0.00240267416664543,0.00851485599166893,0.00987784140192231,0.00382620566125325,0.005719117354631,0.00328318990128353,0.0100243748443965,0.809798986585754,0.0097624251040072,0.00346678747656138,0.00300859925946789,0.00436572636345697,0.00612800885239231,0.00715957464839771,0.0020184382023877,0.00276914609894643,0.0918107457737482
"SPL-DU-00022",0.0172502039264223,0.0198300917323422,0.00514873726921924,0.017925425229649,0.185781509355429,0.00928589623089972,0.0130056819533423,0.00698936509289595,0.0290142161169516,0.0387284339612104,0.0268722104243141,0.00746093406333296,0.00543828632060713,0.00834574811859453,0.0144898836248052,0.0178800347467241,0.00429259682853199,0.00502816680903991,0.567232578195689
"SPL-DU-00023",0.00460692523267357,0.00560272149017686,0.00146679303457609,0.00538050303505322,0.00711191601510933,0.00275371935609783,0.00382135749011035,0.00199055420077929,0.0084202727605637,0.0195883682436693,0.00739916838850039,0.00216230954596858,0.00155986251104882,0.00239413111284653,0.00417115792776296,0.00565752291384172,0.00122159875546665,0.00143310809504532,0.913258009890709
"SPL-DU-00024",0.00721844771212375,0.00906930095841245,0.00228531144011264,0.00836059889898301,0.0177043723171109,0.00432253431620276,0.00615443692040671,0.00314911816386208,0.0131507234101891,0.0212905962448799,0.0111879909114842,0.00335896543480537,0.00254044341631284,0.00377984017501829,0.00639559173015844,0.00863140552853147,0.00208878690905065,0.00256435254876895,0.866747182963586
"SPL-DU-00027",0.00410190986452367,0.922949722885315,0.00143581973747559,0.00477291284552911,0.00526336070753141,0.00235208853717271,0.00327991110096138,0.00183252745310381,0.00846380517847238,0.00560079770046052,0.00624484626312326,0.00202236609627483,0.00135042795626725,0.00233194939049417,0.00286486813295009,0.00361459581613706,0.00114597386297722,0.00136068722239582,0.019011429248835
"SPL-DU-00029",0.0094024829868557,0.0148900528409363,0.00317176709533842,0.0102948178161265,0.0129165277588919,0.00611576039697092,0.00791273483935395,0.00431232237658811,0.812081869332977,0.014444969585714,0.0144976555012452,0.00442202210826736,0.00307578909341708,0.00540191479401031,0.00690960583857812,0.0089736088459878,0.00287373119636883,0.00347249585060181,0.0548298717417708
"SPL-DU-00031",0.00984028262711807,0.0135070555947137,0.00320837898119894,0.0134144868491656,0.0159006355782035,0.00608101812710538,0.00914854341637741,0.00448293198828243,0.0174390393814897,0.0306203892103802,0.014265073428758,0.00471504635762385,0.00395845963346919,0.00548522325713791,0.00864456070774623,0.0117654893799628,0.00316559949346411,0.0053576326922663,0.819000153295537
"SPL-DU-00033",0.0160028446326459,0.0280350864020676,0.00542896781714788,0.0185132280826592,0.0250660107794249,0.0107654772960562,0.0137128346837184,0.00747357046709599,0.66184696908737,0.0253319778588593,0.0238519411461424,0.00755634284976236,0.0055959189323737,0.00927076834221181,0.0118225308964004,0.0154042775008638,0.00500481126966287,0.00618592235612443,0.103130519599413
